mvir,rockstarid,rvir
10017000000000,12651641444,438.623
10017000000000,12662792984,438.623
10017000000000,12665225335,438.623
10017000000000,12655762015,438.623
10017000000000,12656739314,438.623
10017000000000,12629854026,438.623
10017000000000,12624945429,438.623
10017000000000,12601544160,438.623
10017000000000,12645909366,438.623
10017000000000,12675290585,438.623
10017000000000,12632915739,438.623
10017000000000,12682508415,438.623
10017000000000,12694236644,438.623
10017000000000,12652737457,438.623
10017000000000,12667307166,438.623
10017000000000,12662360739,438.623
10017000000000,12659352187,438.623
10017000000000,12640392520,438.623
10017000000000,12630107920,438.623
10017000000000,12702906594,438.623
10017000000000,12696306505,438.623
10017000000000,12706063335,438.623
10017000000000,12670623252,438.623
10017000000000,12669000653,438.623
10017000000000,12675924831,438.623
10017000000000,12684472006,438.623
10017000000000,12691323089,438.623
10017000000000,12682758341,438.623
10017000000000,12687764013,438.623
10017000000000,12685056547,438.623
10017000000000,12695312231,438.623
10017000000000,12684366272,438.623
10017000000000,12687870527,438.623
10017000000000,12703600316,438.623
10017000000000,12703988213,438.623
10017000000000,12701632381,438.623
10017000000000,12664728110,438.623
10017000000000,12693709897,438.623
10017000000000,12666502860,438.623
10017000000000,12703251172,438.623
10017000000000,12696977371,438.623
10017000000000,12680639120,438.623
10019000000000,12572370424,438.645
10019000000000,12577524304,438.645
10019000000000,12598646975,438.645
10019000000000,12584034393,438.645
10019000000000,12569697982,438.645
10019000000000,12578435178,438.645
10019000000000,12576469627,438.645
10019000000000,12576393949,438.645
10019000000000,12575600192,438.645
10019000000000,12585009366,438.645
10019000000000,12594289693,438.645
10019000000000,12581438059,438.645
10019000000000,12637983164,438.645
10019000000000,12632986845,438.645
10019000000000,12570252340,438.645
10019000000000,12594112278,438.645
10019000000000,12603373657,438.645
10019000000000,12608436943,438.645
10019000000000,12605843447,438.645
10019000000000,12612783323,438.645
10019000000000,12617775271,438.645
10019000000000,12590882570,438.645
10019000000000,12666154974,438.645
10019000000000,12637771646,438.645
10019000000000,12634967747,438.645
10019000000000,12640635926,438.645
10019000000000,12621726098,438.645
10019000000000,12633819233,438.645
10019000000000,12630080147,438.645
10019000000000,12675008545,438.645
10019000000000,12641643399,438.645
10019000000000,12679659805,438.645
10019000000000,12679801564,438.645
10019000000000,12639609937,438.645
10019000000000,12644294568,438.645
10019000000000,12641287169,438.645
10019000000000,12638835412,438.645
10019000000000,12613793850,438.645
10019000000000,12623385520,438.645
10019000000000,12623779610,438.645
10019000000000,12658326233,438.645
10019000000000,12668240206,438.645
10019000000000,12624944570,438.645
10019000000000,12654211612,438.645
10019000000000,12663650786,438.645
10019000000000,12659565641,438.645
10019000000000,12663939329,438.645
10019000000000,12670309758,438.645
10019000000000,12679014043,438.645
10019000000000,12680417836,438.645
10019000000000,12690529826,438.645
10019000000000,12674865012,438.645
10019000000000,12650937940,438.645
10019000000000,12684646683,438.645
10019000000000,12689239351,438.645
10019000000000,12684195177,438.645
10019000000000,12690957828,438.645
10019000000000,12699231543,438.645
10019000000000,12687557861,438.645
10019000000000,12661112310,438.645
10019000000000,12702943759,438.645
10019000000000,12701706262,438.645
10019000000000,12702313988,438.645
10019000000000,12706198031,438.645
10019000000000,12684472290,438.645
10020000000000,12569137405,438.667
10020000000000,12569882764,438.667
10020000000000,12569515497,438.667
10020000000000,12584687363,438.667
10020000000000,12577701126,438.667
10020000000000,12608437665,438.667
10020000000000,12576965283,438.667
10020000000000,12590226227,438.667
10020000000000,12579022448,438.667
10020000000000,12607098086,438.667
10020000000000,12628880605,438.667
10020000000000,12594821267,438.667
10020000000000,12595500219,438.667
10020000000000,12595214351,438.667
10020000000000,12592355958,438.667
10020000000000,12598202897,438.667
10020000000000,12632526095,438.667
10020000000000,12641977105,438.667
10020000000000,12618427223,438.667
10020000000000,12600444948,438.667
10020000000000,12614471821,438.667
10020000000000,12620728033,438.667
10020000000000,12617774429,438.667
10020000000000,12619277487,438.667
10020000000000,12661864314,438.667
10020000000000,12617337601,438.667
10020000000000,12620044237,438.667
10020000000000,12628732246,438.667
10020000000000,12627556983,438.667
10020000000000,12668131954,438.667
10020000000000,12635191159,438.667
10020000000000,12633500536,438.667
10020000000000,12644186666,438.667
10020000000000,12673862715,438.667
10020000000000,12645518256,438.667
10020000000000,12633132381,438.667
10020000000000,12649437926,438.667
10020000000000,12643503719,438.667
10020000000000,12679405494,438.667
10020000000000,12646344967,438.667
10020000000000,12690888794,438.667
10020000000000,12682216324,438.667
10020000000000,12652024503,438.667
10020000000000,12648026121,438.667
10020000000000,12693285824,438.667
10020000000000,12650798419,438.667
10020000000000,12623101540,438.667
10020000000000,12650761391,438.667
10020000000000,12664301859,438.667
10020000000000,12636706460,438.667
10020000000000,12664587231,438.667
10020000000000,12671637456,438.667
10020000000000,12639432860,438.667
10020000000000,12703150595,438.667
10020000000000,12677745513,438.667
10020000000000,12668131789,438.667
10020000000000,12668834589,438.667
10020000000000,12673938488,438.667
10020000000000,12650627240,438.667
10020000000000,12668451352,438.667
10020000000000,12699909136,438.667
10020000000000,12691872138,438.667
10020000000000,12659320300,438.667
10020000000000,12684124788,438.667
10020000000000,12694822716,438.667
10020000000000,12691469247,438.667
10020000000000,12690706851,438.667
10020000000000,12693283767,438.667
10020000000000,12680563150,438.667
10020000000000,12681176440,438.667
10020000000000,12693818570,438.667
10020000000000,12697733270,438.667
10020000000000,12689702280,438.667
10020000000000,12700233810,438.667
10020000000000,12700853630,438.667
10022000000000,12575671884,438.689
10022000000000,12581150474,438.689
10022000000000,12572482077,438.689
10022000000000,12592027893,438.689
10022000000000,12576856652,438.689
10022000000000,12596272067,438.689
10022000000000,12612605543,438.689
10022000000000,12613504533,438.689
10022000000000,12574832650,438.689
10022000000000,12602456181,438.689
10022000000000,12606363009,438.689
10022000000000,12581188470,438.689
10022000000000,12656303925,438.689
10022000000000,12636929996,438.689
10022000000000,12613067721,438.689
10022000000000,12660290514,438.689
10022000000000,12606143910,438.689
10022000000000,12614680838,438.689
10022000000000,12624394338,438.689
10022000000000,12633571623,438.689
10022000000000,12602973840,438.689
10022000000000,12645158493,438.689
10022000000000,12641431399,438.689
10022000000000,12640427456,438.689
10022000000000,12615730470,438.689
10022000000000,12649712963,438.689
10022000000000,12643581338,438.689
