x_0,x_1
5.12592,8.42084
5.12592,9.93585
5.12592,15.7033
5.12592,18.5595
5.12592,19.6295
5.12592,12.3338
5.12592,22.3781
5.12592,18.5639
5.12592,12.2958
30.428,32.0696
30.428,40.6365
30.428,42.3459
30.428,12.2958
30.428,45.6681
15.2025,11.2863
15.2025,11.0276
15.2025,3.30739
54.6616,58.9097
54.6616,41.2882
54.6616,63.8361
58.9097,63.8361
58.9097,49.1602
58.9097,50.1976
48.0123,49.4851
48.0123,48.9799
48.0123,49.0287
48.0123,60.0459
48.0123,41.7885
48.0123,64.3852
26.0686,20.679
26.0686,23.8242
26.0686,27.9689
26.0686,27.2796
26.0686,28.9323
26.0686,16.7008
26.0686,8.57597
26.0686,8.09162
18.5639,15.7033
18.5639,18.5595
18.5639,19.6295
18.5639,22.3781
18.5639,9.35709
18.5639,9.93585
18.5639,10.0326
45.6681,40.6254
45.6681,52.3406
45.6681,40.458
45.6681,57.224
46.0979,42.3459
46.0979,40.6365
46.0979,56.8938
46.0979,58.8107
46.0979,59.7329
46.0979,43.4093
92.1247,76.1135
60.3764,49.1602
21.7357,19.059
21.7357,28.718
21.7357,26.9839
21.7357,36.2814
21.7357,34.9113
21.7357,19.5288
71.9214,66.2131
71.9214,64.3852
71.9214,57.5476
42.3459,43.4093
42.3459,33.8099
42.3459,58.8107
42.3459,32.0696
42.3459,52.3406
83.8795,87.2094
83.8795,93.2148
83.8795,83.2991
4.64622,1.08497
4.64622,3.88711
4.64622,0.76615
4.64622,3.30739
4.64622,21.2412
4.64622,11.2863
48.9799,41.401
48.9799,60.0459
48.9799,41.7885
48.9799,64.3852
48.9799,66.2131
6.34549,19.5288
22.3781,18.5595
22.3781,15.7033
22.3781,9.93585
22.3781,9.35709
22.3781,10.0326
40.458,40.6254
40.458,40.8158
40.458,29.9898
40.458,42.543
40.458,23.4409
73.4743,66.2131
73.4743,64.3852
43.4093,33.8099
43.4093,40.6365
57.5476,66.2131
15.7033,18.5595
15.7033,19.6295
15.7033,9.93585
15.7033,9.35709
15.7033,10.0326
15.7033,4.67995
0.62721,0.13593
0.62721,4.01343
0.62721,2.97935
0.62721,7.14484
0.62721,6.72896
0.62721,8.57597
0.62721,8.09162
0.62721,16.7008
28.718,34.9113
28.718,19.059
28.718,36.2814
28.718,19.5288
28.718,26.9839
10.9247,12.2958
10.9247,8.42084
10.9247,4.67995
10.9247,12.3338
10.9247,10.0326
10.9247,9.35709
10.9247,18.5595
10.9247,19.6295
0.13593,6.72896
0.13593,2.97935
0.13593,4.01343
0.13593,7.14484
0.13593,8.57597
0.13593,8.09162
19.059,34.9113
19.059,26.9839
8.09162,8.57597
8.09162,6.72896
8.09162,7.14484
8.09162,4.01343
8.09162,2.97935
8.09162,20.679
8.09162,16.7008
8.09162,23.8242
50.1976,55.2444
50.1976,57.3909
50.1976,42.0127
50.1976,41.2882
50.1976,40.2232
