z_0,z_1
21.3897,25.8065
21.3897,13.0596
21.3897,15.7446
21.3897,22.6616
21.3897,19.6287
21.3897,27.7492
21.3897,26.5313
21.3897,27.8827
29.8446,31.5535
29.8446,30.6141
29.8446,20.3041
29.8446,21.0827
29.8446,23.3282
29.8446,21.7369
29.8446,18.4095
21.1052,21.184
21.1052,15.8126
21.1052,24.2866
21.1052,22.6616
21.1052,25.8065
21.1052,13.0596
21.1052,15.7446
23.3282,21.0827
23.3282,20.3041
23.3282,22.6693
23.3282,24.0582
23.3282,18.4095
23.3282,21.7369
23.3282,31.5535
23.3282,30.6141
23.3282,10.5103
23.3282,30.112
3.89177,2.59884
89.113,90.4557
89.113,80.1071
25.8065,21.184
25.8065,24.2866
25.8065,19.6287
25.8065,15.7446
25.8065,15.8126
25.8065,32.8029
25.8065,26.5313
25.8065,27.7492
25.8065,27.8827
25.8065,13.0596
25.8065,27.6651
25.8065,24.9869
25.8065,22.6616
26.4987,26.3474
26.4987,13.0421
26.4987,13.4767
26.4987,22.6616
26.4987,35.1933
87.9466,97.459
87.9466,73.4616
87.9466,91.0079
89.9567,77.3547
89.9567,76.0878
89.9567,77.4667
77.3547,77.4667
77.3547,73.5804
77.3547,67.6563
10.5103,0.5351
10.5103,22.6693
10.5103,24.0582
10.5103,18.4095
10.5103,22.004
10.5103,21.0827
48.7537,47.0179
48.7537,40.4818
48.7537,39.7902
48.7537,59.6586
48.7537,62.1242
48.7537,61.8548
48.7537,47.2658
48.7537,45.2444
24.9869,26.5313
24.9869,27.7492
24.9869,27.8827
24.9869,27.6651
24.9869,19.6287
24.9869,32.8029
24.9869,15.7446
35.1933,45.4733
35.1933,24.5986
35.1933,52.5858
35.1933,19.873
2.1643,13.4767
2.1643,13.0421
2.1643,6.3017
2.1643,12.8136
2.1643,13.2128
2.1643,7.30074
90.4557,90.2198
80.1071,73.5804
80.0238,81.3608
80.0238,87.2306
80.0238,69.2776
80.0238,74.8614
80.0238,86.7322
80.0238,82.6968
31.5535,20.3041
31.5535,21.0827
31.5535,21.7369
13.4767,7.30074
13.4767,3.54364
13.4767,12.8136
13.4767,26.3474
13.4767,24.5986
60.1026,59.7671
60.1026,67.4835
60.1026,76.8454
92.2784,95.2898
92.2784,91.3752
92.2784,89.3295
92.2784,91.0079
92.2784,84.3407
92.2784,97.459
22.6693,30.112
22.6693,18.4095
22.6693,22.004
22.6693,21.0827
22.6693,20.3041
82.3193,82.6968
27.6651,27.7492
27.6651,26.5313
27.6651,32.8029
27.6651,19.6287
27.6651,15.7446
52.5858,45.4733
52.5858,65.2569
52.5858,60.5816
52.5858,69.3587
52.5858,56.3582
30.6141,20.3041
30.6141,21.0827
7.30074,3.54364
7.30074,13.0421
21.7369,20.3041
