y_0,y_1
17.1843,6.30775
17.1843,9.9938
17.1843,5.55251
17.1843,5.22024
7.00536,6.9671
7.00536,6.6199
7.00536,15.3922
7.00536,16.2372
7.00536,5.22024
7.00536,1.70073
29.2726,19.3131
6.30775,9.9938
6.30775,3.50947
6.30775,2.69894
6.30775,5.22024
3.50947,9.9938
3.50947,5.55251
3.50947,5.22024
96.8522,97.6534
96.8522,95.7497
96.8522,83.6229
96.8522,82.4401
96.8522,84.2643
31.1127,31.4896
31.1127,33.2941
35.2656,34.2233
35.2656,34.0366
35.2656,32.5096
33.2941,36.8143
32.5096,34.0366
62.2043,63.9829
6.9671,15.3922
6.9671,16.2372
6.9671,1.70073
63.9829,60.7665
63.9829,61.6124
15.3922,16.2372
15.3922,6.6199
46.7347,36.8143
55.7606,43.8219
55.7606,59.3968
55.7606,73.2601
73.8224,66.5083
73.8224,68.9247
