mvir,x,y,z,rockstarid
700200000000000,362.51,292.549,968.992,12618021880
699410000000000,915.882,235.989,58.0676,12690229592
699010000000000,549.398,758.862,515.258,12650035598
698950000000000,488.924,683.813,141.528,12640138448
698560000000000,373.103,337.485,506.86,12618355496
698480000000000,952.724,655.541,481.117,12703502418
698400000000000,738.617,581.041,943.856,12675886355
697960000000000,617.811,413.588,541.732,12655829796
697420000000000,488.07,542.705,525.764,12638662592
697090000000000,237.983,908.872,984.784,12605263252
697080000000000,61.9071,948.528,404.304,12577632665
696280000000000,255.33,992.478,847.54,12605797948
696180000000000,741.781,669.889,202.926,12676029799
695520000000000,172.902,397.075,672.383,12591181475
695370000000000,317.447,121.905,293.583,12606616713
695250000000000,753.262,459.153,967.642,12674794149
694830000000000,401.969,24.5068,596.833,12624762491
694720000000000,249.762,817.625,88.9263,12604193467
694570000000000,364.255,670.795,226.773,12621078698
693660000000000,902.316,980.236,387.307,12697191046
693370000000000,915.06,648.254,740.243,12694607128
691970000000000,122.309,250.45,454.373,12580592308
691020000000000,454.365,794.871,890.743,12631908518
690930000000000,777.48,241.405,722.226,12672361805
690920000000000,26.8766,279.997,472.081,12571284572
689850000000000,832.117,277.741,179.612,12681713252
689810000000000,63.2869,396.503,261.308,12572333335
689070000000000,859.102,669.168,524.354,12685339733
689070000000000,349.626,926.867,128.103,12623346212
688800000000000,277.431,360.195,912.367,12609301375
687650000000000,659.331,826.528,857.737,12659902381
687630000000000,174.93,887.379,498.75,12595677199
687620000000000,20.5943,435.776,230.524,12572299202
686800000000000,171.047,790.622,641.997,12594646084
686370000000000,161.687,988.224,221.991,12596091290
686350000000000,359.375,665.712,515.294,12621226986
686340000000000,570.121,401.346,238.945,12646494897
684760000000000,459.991,748.31,994.958,12631411731
684430000000000,802.564,8.74946,601.098,12679654740
684350000000000,453.088,535.464,771.402,12629593786
684320000000000,701.01,250.766,220.227,12663540535
684200000000000,642.017,732.726,638.101,12658655163
683750000000000,257.508,745.369,337.673,12603196453
683690000000000,153.497,790.351,38.3526,12594286820
683170000000000,382.316,107.306,788.897,12616206199
682500000000000,108.651,127.654,608.046,12579494549
681260000000000,416.562,859.047,413.093,12632231781
681000000000000,991.373,830.53,154.087,12705033971
680920000000000,801.355,323.119,433.302,12682467720
680910000000000,264.578,759.564,25.8434,12603006731
680130000000000,488.927,99.3016,143.804,12634402008
679680000000000,28.9453,141.733,746.071,12570247581
679350000000000,856.44,804.199,893.448,12686680875
678460000000000,766.227,977.373,482.968,12679047559
677490000000000,11.5697,451.919,69.6388,12572818342
677220000000000,638.377,441.28,282.774,12656195650
675990000000000,251.397,901.71,159.325,12604794904
675220000000000,279.776,887.956,221.285,12614109305
675160000000000,147.614,919.509,65.0574,12595458801
674650000000000,191.31,913.779,511.594,12595676257
673320000000000,449.297,784.699,88.0137,12631480242
673150000000000,448.173,296.929,872.784,12627259314
672740000000000,429.846,814.35,936.085,12631943906
672680000000000,62.9248,237.832,471.393,12570703912
671780000000000,879.34,891.694,466.121,12696691440
671470000000000,787.153,458.888,682.057,12674647401
671450000000000,284.977,143.617,845.208,12607533120
670900000000000,471.107,225.026,374.753,12635661062
670660000000000,796.235,395.617,488.642,12673971294
670610000000000,353.793,186.949,539.404,12617190093
670310000000000,145.134,512.141,33.6503,12591987144
670180000000000,173.039,884.055,189.623,12595529430
669170000000000,390.008,395.187,300.051,12618830735
669090000000000,281.189,933.081,912.363,12614499514
667680000000000,979.568,721.604,526.728,12704089789
666240000000000,267.895,110.568,242.564,12606580227
665870000000000,671.746,193.769,592.638,12663183823
665680000000000,330.902,482.736,870.336,12610473000
665470000000000,936.17,778.064,7.87822,12704366304
665310000000000,90.5463,55.9885,863.238,12578465224
663300000000000,153.936,215.728,616.106,12589425771
662940000000000,453.889,897.033,195.215,12632718234
662760000000000,52.184,617.023,583.999,12574861487
662630000000000,451.652,425.664,620.676,12628292714
662600000000000,192.783,220.18,754.885,12589500381
662350000000000,506.13,76.8376,581.297,12634711847
661920000000000,767.154,241.157,515.216,12672251453
