mvir,x,y,z
1.00E+13,520.584,887.835,462.615
1.00E+13,700.898,616.451,712.666
1.00E+13,830.505,770.424,991.763
1.00E+13,897.29,210.054,557.631
1.00E+13,669.65,409,796.877
1.00E+13,874.425,521.69,830.446
1.00E+13,837.513,562.572,993.562
1.00E+13,911.235,352.831,204.476
1.00E+13,811.075,915.742,672.674
1.00E+13,999.759,175.211,224.349
1.00E+13,998.495,187.242,192.278
1.00E+13,958.102,503.016,308.621
1.00E+13,912.425,702.408,879.646
1.00E+13,970.572,749.054,41.1953
1.00E+13,885.378,605.937,563.982
1.00E+13,98.4357,157.493,325.039
1.00E+13,94.7095,706.943,971.455
1.00E+13,132.726,421.557,882.332
1.00E+13,170.296,882.071,553.381
1.00E+13,284.862,198.101,57.086
1.00E+13,254.002,662.456,896.287
1.00E+13,49.0136,116.227,721.838
1.00E+13,140.06,167.941,329.488
1.00E+13,2.46965,508.563,845.692
1.00E+13,71.6754,336.666,793.819
1.00E+13,37.0988,539.013,595.132
1.00E+13,124.542,238.693,866.034
1.00E+13,376.694,648.321,703.466
1.00E+13,168.864,500.446,401.634
1.00E+13,170.644,46.15,850.611
1.00E+13,478.071,348.79,861.071
1.00E+13,119.791,536.228,864.622
1.00E+13,210.153,321.1,717.82
1.00E+13,411.786,653.008,948.213
1.00E+13,200.043,690.773,313.753
1.00E+13,426.024,884.707,146.782
1.00E+13,483.666,985.601,11.8936
1.00E+13,544.713,316.2,2.59194
1.00E+13,529.567,290.796,809.937
1.00E+13,286.482,301.931,94.6968
1.00E+13,208.543,934.486,176.117
1.00E+13,371.324,583.293,664.75
1.00E+13,120.531,132.869,939.843
1.00E+13,168.806,546.643,899.44
1.00E+13,379.644,765.81,87.4872
1.00E+13,316.2,459.574,355.624
1.00E+13,688.199,548.184,872.345
1.00E+13,367.301,930.839,344.181
1.00E+13,687.623,667.453,313.578
1.00E+13,356.034,705.886,250.976
1.00E+13,498.301,46.2037,987.586
1.00E+13,478.976,764.681,578.288
1.00E+13,416.89,465.706,716.031
1.00E+13,444.86,487.693,958.338
1.00E+13,749.367,300.274,95.9494
1.00E+13,414.901,254.125,85.3973
1.00E+13,412.667,509.301,681.408
1.00E+13,434.107,864.588,897.684
1.00E+13,388.518,12.3581,644.615
1.00E+13,799.674,928.571,654.178
1.00E+13,552.061,119.981,934.762
1.00E+13,827.602,254.858,144.573
1.00E+13,863.519,398.203,584.742
1.00E+13,588.466,367.431,274.347
1.00E+13,688.943,424.176,657.183
1.00E+13,568.212,913.294,250.628
1.00E+13,517.151,801.528,124.619
1.00E+13,672.34,499.819,561.465
1.00E+13,619.805,646.639,516.277
1.00E+13,675.981,433.388,958.823
1.00E+13,608.884,898.544,432.762
1.00E+13,682.354,537.706,132.078
1.00E+13,749.68,65.5477,445.722
1.00E+13,789.722,413.461,150.914
1.00E+13,721.968,373.165,859.502
1.00E+13,703.268,809.931,488.336
1.00E+13,710.781,640.238,76.8413
1.00E+13,786,588.876,278.54
1.00E+13,703.222,964.651,819.933
1.00E+13,850.233,179.574,108.127
1.00E+13,785.604,815.046,307.227
1.00E+13,666.64,189.669,606.279
1.00E+13,625.122,381.492,688.849
1.00E+13,824.478,443.13,832.768
1.00E+13,960.715,292.47,621.853
1.00E+13,925.454,486.582,462.223
1.00E+13,641.541,944.206,224.155
1.00E+13,875.155,860.182,478.141
1.00E+13,963.866,303.391,612.923
1.00E+13,969.977,198.319,980.313
1.00E+13,772.979,832.845,553.569
1.00E+13,970.579,822.517,821.132
1.00E+13,133.866,233.658,556.093
1.00E+13,110.686,432.898,977.653
1.00E+13,205.447,377.772,589.715
1.00E+13,68.9073,921.521,111.263
1.00E+13,130.199,92.0126,885.984
1.00E+13,86.0716,260.627,289.429
1.00E+13,5.90866,659.383,557.597
1.00E+13,32.1717,444.834,75.5526
1.00E+13,361.19,866.448,701.649
1.00E+13,13.967,728.527,294.867
1.00E+13,427.699,8.29496,857.005
1.00E+13,163.5,454.525,960.169
